title,price,location,url,page
Elektro Gitar,3.500 TL,"Hatay
Dörtyol",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-elektro-gitar-1224527459/detay,4
Gibson Les Paul Studio 2019,63.500 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-gibson-les-paul-studio-2019-1224740466/detay,4
Sıfır elektro gitar,10.000 TL,"Adıyaman
Merkez",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-sifir-elektro-gitar-1224735030/detay,4
Epiphone Les paul Custom,42.500 TL,"Elazığ
Merkez",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-epiphone-les-paul-custom-1224728469/detay,4
Elektro Gitar Seti,12.500 TL,"Adana
Seyhan",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-elektro-gitar-seti-1224730289/detay,4
2013 fender usa telecaster,62.500 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-2013-fender-usa-telecaster-1224728730/detay,4
Washburn rx10 elektro gitar,4.250 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-washburn-rx10-elektro-gitar-1224727041/detay,4
Squier Affinity Lake Placid Blue Stratocaster,10.000 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-squier-affinity-lake-placid-blue-stratocaster-1224717095/detay,4
Ibanez GRX70QA-TKS Transparan Siyah Elektro Gitar,7.500 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-grx70qa-tks-transparan-siyah-elektro-gitar-1224716893/detay,5
ibanez rgr08ltd bk,15.000 TL,"İstanbul
Ataşehir",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-rgr08ltd-bk-1224716148/detay,5
jackson js22 king v,13.000 TL,"İstanbul
Ataşehir",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-jackson-js22-king-v-1224715574/detay,5
Acepro telecaster,4.000 TL,"İzmir
Bornova",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-acepro-telecaster-1224714332/detay,5
TALTA SSS STRATOCASTER FERRARI RED ELEKTRO GİTAR,3.499 TL,"İstanbul
Büyükçekmece",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-talta-sss-stratocaster-ferrari-red-elektro-gitar-1193493451/detay,5
Squier Affinity FMT HSS Akçaağaç Klavye Black Burst Full / Sıfır,14.000 TL,"İstanbul
Beşiktaş",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-squier-affinity-fmt-hss-akcaagac-klavye-black-burst-full-sifir-1224708088/detay,5
Ibanez JS2000 Gold Joe Satriani,70.000 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-js2000-gold-joe-satriani-1224709414/detay,5
Harley benton Explorer,7.500 TL,"İzmir
Bornova",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-harley-benton-explorer-1224708574/detay,5
Harley benton Explorer,7.500 TL,"İzmir
Bornova",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-harley-benton-explorer-1224707326/detay,5
Çok Temiz Waldmaan Les Paul Elektro Gitar,6.250 TL,"Antalya
Konyaaltı",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-cok-temiz-waldmaan-les-paul-elektro-gitar-1224698744/detay,5
Schecter Hellraiser Hybrid C-1 Trans Black Burst,37.000 TL,"İstanbul
Ümraniye",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-schecter-hellraiser-hybrid-c-1-trans-black-burst-1224457225/detay,5
Elektro gitar,25.000 TL,"Bursa
Yıldırım",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-elektro-gitar-1224684897/detay,5
Mattguitars Cosmos Superstrat,80.000 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-mattguitars-cosmos-superstrat-1224678292/detay,5
Fender Squier Sonic Stratocaster / Boss KTN-Mini Amfi,13.500 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-fender-squier-sonic-stratocaster-boss-ktn-mini-amfi-1224451446/detay,5
acil satılık Elektro gitar ve Amfi,6.500 TL,"Ankara
Etimesgut",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-acil-satilik-elektro-gitar-ve-amfi-1224673663/detay,5
Akademisyenden Gibson SG Faded ACİLL ŞOK FİYAT,27.500 TL,"Antalya
Döşemealtı",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-akademisyenden-gibson-sg-faded-acill-sok-fiyat-1224666561/detay,5
Gibson Guitar ES 345 TD Stereo,160.000 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-gibson-guitar-es-345-td-stereo-1224664534/detay,5
Schecter C6 plus,11.000 TL,"İstanbul
Arnavutköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-schecter-c6-plus-1224661047/detay,5
Gibson Les Paul Traditional Left-Handed (2010 USA) Elektro Gitar,99.999 TL,"İzmir
Konak",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-gibson-les-paul-traditional-left-handed-2010-usa-elektro-gitar-1224656618/detay,5
Midex elektro keman,5.300 TL,"Samsun
Atakum",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-midex-elektro-keman-1224365998/detay,5
Acil Godin A6 Ultra Elektro Akustik Gitar(haftaya fiyat artacak),36.000 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-acil-godin-a6-ultra-elektro-akustik-gitar-haftaya-fiyat-artacak-1220678042/detay,6
İBANEZ Limited Edition GRG010LTD BK,13.000 TL,"İzmir
Buca",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-limited-edition-grg010ltd-bk-1224430745/detay,6
Sahibinden Cort m600 te,19.500 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-sahibinden-cort-m600-te-1224649141/detay,6
Jackson RR3 Japon (1999),52.000 TL,"İzmir
Narlıdere",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-jackson-rr3-japon-1999-1224420061/detay,6
"ESP LTD EC-256 BLK Elektro Gitar (Yeni Gitar, Açıklamayı Okuyun)",21.000 TL,"Sakarya
Adapazarı",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-esp-ltd-ec-256-blk-elektro-gitar-yeni-gitar-aciklamayi-okuyun-1224414621/detay,6
Fender Sguier Affinity Stratocaster,9.500 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-fender-sguier-affinity-stratocaster-1224638963/detay,6
Midex Elektro Gitar,3.500 TL,"Samsun
Atakum",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-midex-elektro-gitar-1224633287/detay,6
Orjinal Fender Telecaster,36.000 TL,"Ankara
Akyurt",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-orjinal-fender-telecaster-1224625384/detay,6
"sıfır gibi, kullanılmadı",5.400 TL,"İzmir
Dikili",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-sifir-gibi-kullanilmadi-1224616794/detay,6
IBANEZ RG350M,16.000 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-rg350m-1224614276/detay,6
Gibson Les Paul Studio Tribute ( Seymour Duncan & Upgrade) * İST,72.500 TL,"İzmir
Karşıyaka",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-gibson-les-paul-studio-tribute-seymour-duncan-upgrade-ist-1224613608/detay,6
yamaha pacifica 311h elektro gitar,20.000 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-yamaha-pacifica-311h-elektro-gitar-1224606199/detay,6
,,,https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ltd-ihtiyactan-kutulu-hh-yok-telli-calgilar-sb2f-846858451/detay,6
Cort elektro gitar,7.000 TL,"Ankara
Çankaya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-cort-elektro-gitar-1224384993/detay,6
squier bullet strat hss,10.000 TL,"Sivas
Merkez",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-squier-bullet-strat-hss-1224371555/detay,6
"Gibson Blueshawk USA, Little Lucille",75.000 TL,"İzmir
Urla",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-gibson-blueshawk-usa-little-lucille-1224589281/detay,6
Cort x 100 Elektro Gitar,5.000 TL,"İstanbul
Ümraniye",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-cort-x-100-elektro-gitar-1224584337/detay,6
İbanez ps40 paul stanley elektro gitar,11.750 TL,"İstanbul
Beylikdüzü",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-ps40-paul-stanley-elektro-gitar-950559605/detay,6
Jackson elektro gitar,27.500 TL,"Bursa
Mudanya",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-jackson-elektro-gitar-1224354495/detay,6
